Location,x,t,nKx
Japan,0,1969,8646692
Japan,5,1969,8005825
Japan,10,1969,7934145
Japan,15,1969,9675278
Japan,20,1969,10342042
Japan,25,1969,9465242
Japan,30,1969,8537107
Japan,35,1969,8210441
Japan,40,1969,7329432
Japan,45,1969,5682356
Japan,50,1969,4781334
Japan,55,1969,4465300
Japan,60,1969,3659483
Japan,65,1969,3006383
Japan,70,1969,2117795
Japan,75,1969,1289262
Japan,80,1969,653244
Japan,85,1969,234906
Japan,90,1969,56850
Japan,95,1969,8344
Japan,100,1969,617
Japan,0,1970,8760444
Japan,5,1970,8187941
Japan,10,1970,7858608
Japan,15,1970,9068497
Japan,20,1970,10857054
Japan,25,1970,9551202
Japan,30,1970,8533547
Japan,35,1970,8327686
Japan,40,1970,7532393
Japan,45,1970,5983230
Japan,50,1970,4841458
Japan,55,1970,4529909
Japan,60,1970,3797283
Japan,65,1970,3054932
Japan,70,1970,2198251
Japan,75,1970,1332772
Japan,80,1970,688264
Japan,85,1970,243412
Japan,90,1970,60275
Japan,95,1970,9001
Japan,100,1970,678
Japan,0,1971,9093235
Japan,5,1971,8205958
Japan,10,1971,7820176
Japan,15,1971,8672495
Japan,20,1971,11187587
Japan,25,1971,9395233
Japan,30,1971,8666763
Japan,35,1971,8444906
Japan,40,1971,7697684
Japan,45,1971,6308561
Japan,50,1971,4952962
Japan,55,1971,4585566
Japan,60,1971,3941615
Japan,65,1971,3082341
Japan,70,1971,2296732
Japan,75,1971,1392183
Japan,80,1971,718808
Japan,85,1971,252055
Japan,90,1971,64026
Japan,95,1971,9755
Japan,100,1971,715
Japan,0,1972,9444870
Japan,5,1972,8245567
Japan,10,1972,7867948
Japan,15,1972,8337013
Japan,20,1972,11008057
Japan,25,1972,9529878
Japan,30,1972,8877171
Japan,35,1972,8526779
Japan,40,1972,7857712
Japan,45,1972,6654284
Japan,50,1972,5085691
Japan,55,1972,4619675
Japan,60,1972,4069441
Japan,65,1972,3135914
Japan,70,1972,2403793
Japan,75,1972,1460806
Japan,80,1972,750223
Japan,85,1972,265287
Japan,90,1972,68905
Japan,95,1972,10636
Japan,100,1972,754
Japan,0,1973,9636166
Japan,5,1973,8464846
Japan,10,1973,7953130
Japan,15,1973,8104819
Japan,20,1973,10378508
Japan,25,1973,9996550
Japan,30,1973,9149726
Japan,35,1973,8530199
Japan,40,1973,8011593
Japan,45,1973,6958967
Japan,50,1973,5293125
Japan,55,1973,4628532
Japan,60,1973,4161276
Japan,65,1973,3231872
Japan,70,1973,2499249
Japan,75,1973,1534745
Japan,80,1973,777240
Japan,85,1973,283398
Japan,90,1973,73436
Japan,95,1973,11274
Japan,100,1973,818
Japan,0,1974,9844015
Japan,5,1974,8612275
Japan,10,1974,8056490
Japan,15,1974,7993703
Japan,20,1974,9646467
Japan,25,1974,10475526
Japan,30,1974,9475468
Japan,35,1974,8461959
Japan,40,1974,8139872
Japan,45,1974,7219421
Japan,50,1974,5570342
Japan,55,1974,4629149
Japan,60,1974,4242551
Japan,65,1974,3354438
Japan,70,1974,2574296
Japan,75,1974,1608439
Japan,80,1974,803216
Japan,85,1974,302938
Japan,90,1974,76758
Japan,95,1974,11812
Japan,100,1974,888
Japan,0,1975,9931647
Japan,5,1975,8718884
Japan,10,1975,8236378
Japan,15,1975,7914984
Japan,20,1975,9058711
Japan,25,1975,10924358
Japan,30,1975,9562916
Japan,35,1975,8446743
Japan,40,1975,8256762
Japan,45,1975,7424144
Japan,50,1975,5862848
Japan,55,1975,4693025
Japan,60,1975,4313498
Japan,65,1975,3492233
Japan,70,1975,2631784
Japan,75,1975,1686633
Japan,80,1975,839794
Japan,85,1975,322231
Japan,90,1975,80525
Japan,95,1975,12583
Japan,100,1975,958
Japan,0,1976,9861192
Japan,5,1976,9046115
Japan,10,1976,8250826
Japan,15,1976,7870797
